iter	Passed	Remaining
0	322	966980
1	634	951561
2	919	918607
3	1253	939142
4	1585	949967
5	1892	944285
6	2214	946810
7	2511	939254
8	2807	932935
9	3102	927538
10	3426	931037
11	3753	934583
12	4058	932584
13	4363	930696
14	4683	932071
15	4988	930274
16	5294	929112
17	5587	925741
18	5895	925005
19	6213	925867
20	6507	923163
21	6804	921016
22	7135	923575
23	7422	920404
24	7731	920009
25	8016	916920
26	8332	917541
27	8619	914921
28	8906	912497
29	9208	911613
30	9517	911565
31	9805	909471
32	10102	908297
33	10411	908283
34	10727	908796
35	11033	908417
36	11321	906672
37	11620	905810
38	11911	904335
39	12214	903874
40	12528	904165
41	12831	903727
42	13122	902427
43	13419	901537
44	13728	901536
45	14039	901608
46	14346	901389
47	14646	900764
48	14945	900066
49	15259	900284
50	15542	898745
51	15837	897849
52	16160	898557
53	16477	898955
54	16798	899509
55	17111	899560
56	17428	899879
57	17745	900117
58	18060	900270
59	18363	899819
60	18682	900130
61	18998	900291
62	19309	900183
63	19605	899405
64	19914	899203
65	20211	898510
66	20508	897783
67	20854	899213
68	21182	899786
69	21480	899102
70	21777	898416
71	22108	899079
72	22410	898583
73	22721	898409
74	23030	898192
75	23334	897765
76	23642	897508
77	23939	896827
78	24248	896588
79	24572	896899
80	24882	896690
81	25204	896910
82	25515	896741
83	25844	897163
84	26142	896543
85	26438	895846
86	26755	895846
87	27064	895594
88	27330	893915
89	27650	894029
90	27968	894076
91	28275	893765
92	28585	893529
93	28905	893615
94	29210	893229
95	29512	892763
96	29829	892733
97	30151	892868
98	30470	892876
99	30806	893390
100	31102	892747
101	31434	893122
102	31721	892206
103	32027	891853
104	32349	891908
105	32628	890828
106	32936	890504
107	33242	890169
108	33543	889675
109	33865	889751
110	34155	888961
111	34421	887582
112	34716	886948
113	35006	886213
114	35288	885277
115	35594	884950
116	35860	883632
117	36160	883181
118	36422	881797
119	36728	881472
120	37026	880975
121	37327	880559
122	37639	880397
123	37951	880219
124	38258	879941
125	38563	879605
126	38895	879901
127	39189	879313
128	39491	878909
129	39798	878639
130	40099	878202
131	40414	878106
132	40718	877739
133	41037	877718
134	41328	877073
135	41636	876812
136	41929	876224
137	42232	875859
138	42537	875542
139	42824	874850
140	43157	875088
141	43457	874668
142	43738	873858
143	44039	873444
144	44352	873284
145	44647	872764
146	44948	872363
147	45228	871557
148	45539	871364
149	45860	871355
150	46194	871579
151	46490	871091
152	46786	870602
153	47099	870421
154	47401	870038
155	47675	869159
156	47989	869013
157	48278	868399
158	48556	867600
159	48867	867404
160	49184	867296
161	49474	866721
162	49757	866026
163	50040	865341
164	50370	865460
165	50648	864682
166	50939	864140
167	51310	864947
168	51642	865088
169	51929	864474
170	52240	864262
171	52545	863953
172	52864	863869
173	53165	863487
174	53499	863634
175	53798	863225
176	54122	863208
177	54417	862723
178	54724	862451
179	55036	862242
180	55313	861484
181	55616	861143
182	55906	860595
183	56214	860332
184	56513	859928
185	56829	859773
186	57120	859257
187	57422	858897
188	57728	858592
189	58040	858393
190	58343	858041
191	58657	857862
192	58944	857294
193	59236	856798
194	59524	856239
195	59841	856102
196	60142	855735
197	60462	855629
198	60767	855324
199	61069	854976
200	61378	854720
201	61670	854224
202	61975	853913
203	62291	853761
204	62593	853405
205	62885	852920
206	63179	852459
207	63473	852007
208	63772	851626
209	64063	851131
210	64372	850874
211	64667	850438
212	64948	849819
213	65262	849636
214	65549	849090
215	65869	848980
216	66179	848746
217	66503	848677
218	66832	848676
219	67118	848132
220	67393	847452
221	67672	846819
222	67985	846612
223	68251	845831
224	68550	845452
225	68884	845509
226	69196	845299
227	69493	844897
228	69819	844850
229	70143	844776
230	70452	844514
231	70768	844338
232	71087	844196
233	71367	843601
234	71687	843469
235	71980	843020
236	72251	842325
237	72570	842178
238	72890	842054
239	73169	841452
240	73460	840985
241	73739	840381
242	74080	840497
243	74375	840079
244	74663	839580
245	74974	839351
246	75275	839004
247	75553	838404
248	75896	838520
249	76203	838236
250	76512	837983
251	76798	837469
252	77089	837013
253	77409	836870
254	77728	836721
255	78045	836553
256	78351	836254
257	78678	836184
258	78977	835816
259	79270	835387
260	79581	835147
261	79918	835177
262	80230	834944
263	80529	834581
264	80830	834231
265	81133	833906
266	81434	833556
267	81729	833148
268	82026	832763
269	82314	832289
270	82599	831789
271	82915	831596
272	83224	831334
273	83508	830820
274	83824	830622
275	84148	830512
276	84454	830219
277	84739	829711
278	85026	829236
279	85330	828921
280	85651	828775
281	85922	828148
282	86211	827688
283	86523	827457
284	86842	827290
285	87128	826808
286	87441	826584
287	87731	826134
288	88042	825890
